Country,Code,X,Y,Arrival_Requirement,Quarantine_Requirement
Anguilla,AIA,-63.054596,18.214755,"COVID-19 negative certification required for entering the country.

You must provide evidence of a negative PCR  test taken 3 – 5 days before the planned date of your arrival. Rapid PCR tests and rapid antigen tests will not be accepted. You should arrange to take a private test. You will also be tested on arrival. <br>


","Quarantine at government designated site or Government approved self-quarantine facility. <br>

*Entry requirements: 
- For short-term critical business visitors: Fully vaccinated technicians and short-term critical business visitors will be required to pay a single testing fee of US$200.00 per person and to quarantine for four days, unless given permission to operate in an approved “health bubble” by the Ministry of Health. <br>
 - For returning residents: Returning residents who are fully vaccinated are required to pay a single testing fee of US$200.00 per person, self-isolate for 4 days on arrival and will be required to take a further RT-PCR test four days after arrival (day one is the day after arrival). <br>
- Returning residents who are not fully vaccinated, including children under the age of 18,  self-isolate for a period of 10 days after arrival in approved accommodation. <br>
Unaccompanied children under the age of 18 who are not fully vaccinated, coming from a fully vaccinated household and arriving to stay in a fully vaccinated household, will be required to take a RT-PCR test four days after arrival but will not be required to self-isolate on arrival. <br>
- Unaccompanied children under the age of 18 who are not fully vaccinated, coming from an unvaccinated household and/or arriving to stay in an unvaccinated vaccinated household, will be required to take a RT-PCR test four days after arrival and will be required to self-isolate for 10 days in approved accommodation. <br>"
Antarctica,ATA,21.475857,-80.408977,,
Antigua and Barbuda,ATG,-61.799256,17.077306,"COVID-19 negative certification required for entering the country. 

All passengers 5 years and older, arriving by air (including those transiting the country), must provide evidence of a negative COVID-19 RT-PCR test taken within 4days of their flight. Only tests administered by health care professionals are accepted.","Quarantine requirement at government designated site- subject to official discretion. 
<br
On arrival, you will be subject to health screening. The Ministry of Health and Wellness of Antigua and Barbuda advise that all arrivals will be monitored for coronavirus for up to 14 days and that ultimately it is the decision of the Quarantine Authority on who must self-isolate or quarantine on arrival. <br>
All tourist and business travellers who are partially vaccinated will be permitted to stay in <a href=""https://visitantiguabarbuda.com/antigua-and-barbuda-is-open/"">Government-approved accommodation</a> (see Pre-Arrival Requirements Information above). <br>
Residents of Antigua and Barbuda and visitors staying with family, friends, in private accommodation, in their own place of residence or other location not on the <a href=""https://visitantiguabarbuda.com/antigua-and-barbuda-is-open/"">Government of Antigua and Barbuda’s Approved List</a> , will be subject to an interview to determine their travel plans and suitability to leave for their accommodation arrangements. Those who have received both doses of a two-dose vaccine regimen, or one dose of a one-dose regimen, who arrive at least 14 days after their last or only vaccine day will be permitted to travel to their accommodation. Those who are not fully-vaccinated will be required to show evidence of pre-booked accommodation at one of the approved facilities for 14 days and pay for a test on day 12. 


"
Argentina,ARG,-63.578123,-31.578414,"COVID-19 negative certification required for entering the country. 

Persons aged six and above, regardless of their vaccination status, must take a PCR test no more than 72 hours before travel. In addition, a test must be done upon arrival in the country and another test on the seventh day of entry. Vaccinated individuals have on option to take a second test after day five. 
Individuals who have had COVID-19 within 90 days of travel can present a positive PCR test result, with a medical certificate issued at least 10 days after the diagnosis. These travelers don’t need to carry a negative PCR test report takennot more than 72 hours before arrival.","Self-isolation at own accommodation- subject to testing.

Fully vaccinated Argentine citizens, residents, and foreigners traveling for work who test negative upon arrival are not required to quarantine. They are required to prove their vaccination status via the Mi Argentina app or a valid vaccination certificate issued by a national or state-level public health body. However, these individuals will not be allowed to attend any large gatherings or public transport for 10 days after their entry. 
All other travelers, including those who present a negative COVID-19 test carried out within the last 72 hours, must self-isolate for seven days upon arrival to the country. Children under six years of age are exempt from submitting a test or isolation. 
Travelers who test positive upon arrival are subjected to a mandatory institutional quarantine. They must bear the cost of quarantine and of a mandatory COVID-19 genome sequencing test.
Any Argentine citizen or foreign resident who arrives via a land border and chooses not to present a negative PCR test administered no more than 72 hours before arrival will be required to self-isolate for 14 days.
Effective October 1, travelers from neighboring countries will not be required to undergo self-isolation upon entry."
Armenia,ARM,44.938387,40.295005,"COVID-19 negative certification required for entering the country. 

You can now enter Armenia with a negative PCR test certificate issued a maximum of 72 hours prior to arrival or a certificate of complete COVID-19 vaccination with the second dose taken at least 14 days before entering the country.
","Self-isolation at own accommodation. 

Arrivals are subject to self-isolation and/or testing requirements. 
 <br>
If you arrive without a certificate, and have no symptoms, you can pay for a PCR test at Zvartnots airport or the land border crossing from Georgia. You must then isolate until you receive a negative result.<br>
"
Aruba,ABW,-69.970272,12.50911,"COVID-19 negative certification required for entering the country. 

Travellers are asked to provide a negative COVID-19 test result within 72 hours of departure for Aruba; There are a number of exemptions to these requirements. Children under 15 years are not required to provide a negative COVID-19 test result on entry. Transit/transfer passengers who do not enter the country are not required to fill out the online Embarkation/Disembarkation card nor provide a negative COVID-19 test result. You can also choose to take a COVID-19 test, for a fee, on arrival in Aruba, but a mandatory quarantine period of 24 hours is required for all visitors who choose to be tested on arrival.","Self-isolation at own accommodation- subject to PCR. 

You can also choose to take a COVID-19 test, for a fee, on arrival in Aruba, but a mandatory quarantine period of 24 hours is required for all visitors who choose to be tested on arrival. Those who test positive for COVID-19 during their stay will be required to self-isolate. Please see <a href=""https://edcardaruba.aw/"">this website</a> for further information. <br>"
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,,
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,,
Australia,AUS,134.3547,-25.5732,"COVID-19 negative certification not required / not known. 
Returning Australians and other travellers to Australia must return a negative COVID-19 test prior to departure.<br>
All travellers arriving in Australia may need to undergo enhanced health screening on arrival before going into quarantine. This can include temperature testing. You may also be asked to undergo screening or testing in quarantine.","Quarantine requirement at government designated site.
All international travellers entering Australia need to undertake a mandatory 14-day quarantine at a designated facility (for example a hotel) at their port of arrival. "
Austria,AUT,14.141702,47.58705,"COVID-19 negative certification required for entering the country. 
<br>
Travellers entering Austria on direct flights from Cyprus and Spain have to carry a negative PCR test result or proof of being fully vaccinated. If travellers do not carry a negative PCR test result or proof of being fully vaccinated, they have to fill out the <a href=""https://www.oesterreich.gv.at/en/themen/coronavirus_in_oesterreich/pre-travel-clearance.html"">pre-travel clearance form</a> and take a PCR test immediately upon entry at the airport. If, due to special circumstances, immediate testing at the airport is not possible, in exceptional cases the test can be taken within 24 hours. (Exemption of a negative PCR test for persons who have already recovered in the past 90 days and no longer pose an epidemiological risk, but still test positive; medical certificate [template <a href=""https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_344/COO_2026_100_2_1883894.pdfsig"">in German</a> /<ahref=""https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_344/COO_2026_100_2_1883895.pdfsig"">in English</a> ] required).
- Holders of ""EU Digital COVID Certificates"" (EUDCC) can enter Austria without being subject to additional restriction. <br>
- Entering this country without the EU Digital COVID certificate, from countries or areas of ""low epidemiological risk"": Travellers aged 12 or above must either be vaccinated; provide a certification that they have recovered from COVID-19; provide a pre-departure PCR test (taken within 72 hours prior to arrival) or a rapid antigen test (taken within 48 hours prior to arrival), or carry out a test within 24 hours after entry.<br>
- Entering this country without the EU Digital COVID certificate, from ""Virus variant"" countries or areas.  Entry requirements: negative PCR on entry, Pre Travel Clearance, Obligation of a 10-day quarantine. The quarantine can be ended from day 5 after entry with a negative molecular biological test result.<br>
- Entering this country from other countries and areas that are NOT listed in <a href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011574"">Appendix 1 or 2</a> of the COVID-19 entry regulation 2021. Entry requirements: Proof of vaccination, a negative pre-departure test, certification of recovery from COVID-19 (see point 1 above), Pre Travel Clearance, Obligation of a 10 day quarantine (unless 14 days have passed since full immunisation). The quarantine can be ended from day 5 after entry with a negative result to a new test.

","Self-isolation at own accommodation.
<br>
- Holders of ""EU Digital COVID Certificates"" (EUDCC) can enter Austria without being subject to additional restriction. <br>
- Entering this country without the EU Digital COVID certificate, from countries or areas of ""low epidemiological risk"": Travellers aged 12 or above must either be vaccinated; provide a certification that they have recovered from COVID-19; provide a pre-departure PCR test (taken within 72 hours prior to arrival) or a rapid antigen test (taken within 48 hours prior to arrival), or carry out a test within 24 hours after entry.<br>
- Entering this country without the EU Digital COVID certificate, from ""Virus variant"" countries or areas.  Entry requirements: negative PCR on entry, Pre Travel Clearance, Obligation of a 10-day quarantine. The quarantine can be ended from day 5 after entry with a negative molecular biological test result.<br>
- Entering this country from other countries and areas that are NOT listed in <a href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011574"">Appendix 1 or 2</a> of the COVID-19 entry regulation 2021. Entry requirements: Proof of vaccination, a negative pre-departure test, certification of recovery from COVID-19 (see point 1 above), Pre Travel Clearance, Obligation of a 10 day quarantine (unless 14 days have passed since full immunisation). The quarantine can be ended from day 5 after entry with a negative result to a new test.




"
Azerbaijan,AZE,50.010647,40.392295,"COVID-19 negative certification required for entering the country. 
All passengers 1 year old and over travelling to Azerbaijan will require a negative PCR COVID-19 test taken no more than 72 hours before your flight’s departure to Azerbaijan. Some foreign nationals 18 years old and over require a ‘COVID-19 passport’, a document confirming full vaccination against COVID-19 or a document showing immunity to COVID-19 in order to enter Azerbaijan. (See <a href=""https://www.gov.uk/foreign-travel-advice/azerbaijan/entry-requirements#demonstrating"">‘Demonstrating your COVID-19 vaccination status’</a>).<br>
The authorities have indicated that foreign nationals who already hold temporary or permanent residency in Azerbaijan may be exempt from the requirement to provide a ‘COVID-19 passport’ to re-enter Azerbaijan but still need a negative PCR COVID-19 test.<br>
You should seek to have your test results via email and printed off, or a paper certificate. You may be tested again for COVID-19 and have your temperature checked on arrival into Azerbaijan. You should arrange to take a private test.<br> 
Anyone who displays symptoms of COVID-19 on arrival in Azerbaijan will be directed to the medical station at the airport. From there the case will be reported to the Emergency Medical Services.<br>
If you are arriving to Azerbaijan via a third country (i.e. not directly from the UK) you will still be required to produce a negative PCR COVID-19 test certificate on arrival even if your airline does not request one for boarding part of your journey.<br>","Quarantine requirement at government designated site. 

There is no longer a requirement for arrivals to Azerbaijan to self-isolate. 


"
Azores Islands,PRT,-25.494913,37.77694,,
Bahamas,BHS,-78.051117,24.695466,"COVID-19 negative certification required for entering the country. 
 
All travellers over two years old need to submit either a negative COVID-19 RT PCR test certificate (unvaccinated travellers over 12 years old) or a Rapid Antigen test (vaccinated travellers and children aged 2 to 11) prior to arrival. <br>
The test must have been taken within 5 days prior to the date of arrival. An email response will be provided once the application is completed, followed by an approval or denial of the health visa. This confirmation must be presented upon arrival in The Bahamas. You should allow 72 hours to process. A fee may be payable for certain categories of unvaccinated traveller. <br>","Quarantine requirement unknown.

Travellers who are staying in The Bahamas more than four nights/five days will be required to take a rapid antigen test and complete daily health questionnaires. More details are available at the <a href=""https://www.bahamas.com/travelupdates"">Ministry of Tourism’s website</a>. <br>
"
Bahrain,BHR,50.547509,26.054724,"COVID-19 negative certification required for entering the country.
 <br> 
All arrivals aged 6 years and above, except for those who fit the exemptions outlined below, must:<br>
•        present an approved negative PCR test certificate with QR code conducted no more than 72 hours prior to departure (48 hours if arriving from or having transited through Bahrain’s ‘Red List’ countries - currently; Bangladesh, the Dominican, Georgia, India, Indonesia, Iran, Iraq, Malawi, Malaysia, Mexico, Mongolia, Mozambique, Myanmar, Namibia, Nepal, Pakistan, Panama, Philippines, South Africa, Sri Lanka, Tunisia, Uganda, Ukraine, Vietnam and Zimbabwe); and<br>
•        pay for and undergo PCR tests on arrival (at the airport), day five (for those who arrive on or after 29 August) and day ten of the stay (at government testing facilities), as well as;<br>
Quarantine for a period of ten days in their residence or at a <a href=""https://www.nhra.bh/Departments/HCF/Lists/MediaHandler/GenericHandler/documents/departments/HCF/Lists/HCF_%20List%20_List%20of%20Approved%20Quarantine%20Facilities.pdf"">licensed quarantine facility</a> (proof of residence or hotel booking is required).You will be required to download the “BeAware” app in advance of testing, and through which you can pay for the arrival tests. 
","Self-isolation at own accommodation- subject to PCR. 
 <br> 
All arrivals into Bahrain aged 6 years and above, will be required to self-isolate for 10 days as part of the arrivals testing procedure, unless exempt as set out above. Those who test positive will be subject to further quarantine measures and health treatment, offered free of charge, at hospital or quarantine centres. Those who test positive but are without symptoms may be permitted to self-isolate at home or at their hotel. Tests can be booked through the “BeAware” app or by calling 444.<br>
The Government of Bahrain has stated that anyone subjected to self-isolation/quarantine must comply or face up to three months in jail and a fine of up to 10,000 BHD. Visit the website of the <a href=""https://www.moh.gov.bh/Home?lang=en"">Government of Bahrain’s Ministry of Health</a> for additional information.<br> 
The Government of Bahrain has stated that anyone subjected to self-isolation/quarantine must comply or face up to three months in jail and a fine of up to 10,000 BHD. Visit the website of the <a href=""https://www.moh.gov.bh/Home?lang=en"">Government of Bahrain’s Ministry of Health</a> for additional information.<br>"
Baker Island,UMI,-176.47834,0.194787,,
Bangladesh,BGD,90.28042,23.927884,"COVID-19 negative certification required for entering the country.

 
All passengers to entry they need medical certificate indicating a negative PCR test taken within 72 hours of travel (for passengers aged 10 or over). 
","Self-isolation at own accommodation or government facility.

 All Passengers arriving from the UK are required to complete a 14-day period of quarantine. Those that have completed a COVID-19 vaccination course can complete quarantine at home. Those who are not vaccinated will be required to quarantine at a government nominated hotel. This regime also applies to those arriving from Brazil, Colombia, Costa Rica, France, Iraq, Ireland, Kazakhstan, Kuwait, Kyrgyzstan, Namibia, Netherlands, Panama, South Africa, Thailand, and Tunisia. As appropriate, passengers must travel with confirmation of their vaccination status or with confirmation of their approved quarantine hotel booking. <br>
Passengers whose journey originates from, or who have visited within the previous 15 days, Argentina, Botswana, Cuba, Cyprus, Eswatini, Georgia, Iran, Libya, Malaysia, Mongolia and Spain are not permitted to travel to or enter Bangladesh. These passengers are required to home quarantine for 14 days upon arrival. For all passengers, airport transit via these countries is allowed.
 Passengers arriving from all other countries, i.e. those not mentioned above, can complete their 14 day period of quarantine at home. 


"
Barbados,BRB,-59.53546,13.13996,"COVID-19 negative certification required for entering the country<br>

All travellers from must present on arrival a valid COVID-19 PCR negative test result taken no more than 3 days in advance of your flight’s arrival. Please note that the test can be taken at any time during the day 3 days prior to the date of your arrival in Barbados. <br>
All passengers are also required to submit an Embarkation/Disembarkation (ED) card 24 hours prior to travel, to which they should upload their negative test result via <a href=""https://www.travelform.gov.bb/home"">Travel Form</a>. The BIMSafe app can also be used. <br>
If you arrive in Barbados without a valid negative PCR test, you may be denied entry to the country. You should arrange to take a private test. On arrival all passengers are also subject to a health screen. <br>","Quarantine requirement at government designated site.

On arrival, you will be quarantined at approved facilities (a designated holding hotel, approved villa or a government facility at your own expense). You will be required to undergo a second PCR test 5 days after arrival. <br>
You will need to remain in your hotel room and may be required to wear an electronic tracking bracelet until you receive the results of your second test. If the result of that second test is negative, you will not be subject to further quarantine. The government aims to return results within 48 hours. Return times can sometimes be longer than this. See the <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Barbados Travel Protocols</a>  for further details. <br>
From 8 May a new protocol is in place for fully vaccinated individuals (2 doses administered more than 14 days prior to arrival) who have not visited high risk countries including India, South Africa or Brazil in the previous 21 days.
Details of what the Barbadian authorities will accept as proof of vaccination can be found in the <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Barbados Travel Protocols</a>. If you are unable to provide sufficient proof that you have been vaccinated then you will be treated as if you are unvaccinated. <br>
On arrival, you will undergo a rapid PCR test either at the airport or at your government-approved accommodation. You will need to remain on the premises of your accommodation and follow the quarantine rules until you receive the results of your second test. The government aims to return results within 24 hours but it is recommended that you book two nights’ accommodation. See the <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Barbados Travel Protocols</a> for further details. <br>
If the result of that second test is negative, you will not be subject to further quarantine. <br>
If you test positive for COVID-19 at any point during your stay in Barbados, you will be required to self-isolate. You will first be transferred to the government isolation facility for at least 24 hours. Conditions at the government quarantine facilities are generally basic and not necessarily equivalent to a tourist hotel with the associated services. Alternatively, you can request to self-isolate at your hotel, apartment or villa, or government approved isolation property under strict stipulations that must be signed and adhered to. This will be at your own expense for non-nationals and non-residents. You will need to remain at your designated accommodation until the Barbadian authorities are satisfied that you have recovered. This may mean a mandatory stay of several weeks in Barbados. <br>
Upon recovery, tourists can continue their holiday or return home. The option to self-isolate in an approved hotel, villa or property is not a right – the decision will be made by healthcare professionals. See the <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Barbados Travel Protocols</a> for full details of isolation options, facilities and requirements. <br>
If you are deemed to have been in close contact with a positive COVID-19 case, you will be required to quarantine at approved facilities. See <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Barbados Travel Protocols</a> for full details. <br>
You can find full and definitive details of the protocols at <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Visit Barbados website</a>
 and are advised to read and understand the requirements carefully before departure. <br>
You should monitor the <a href=""https://www.visitbarbados.org/covid-19-travel-guidelines-2020"">Visit Barbados website</a> on a regular basis as the Government of Barbados may change the requirements without notice. <br>
 

"
Bassas da India,xFR,39.748618,-21.46322,,
Belarus,BLR,28.0494,53.541933,"COVID-19 negative certification required for entering the country. 

All foreign arrivals, above the age of six, must have a medical certificate (PCR) showing a negative coronavirus test result, issued no later than 72 hours before entry. This requirement does not apply to holders of permanent or temporary residency in Belarus.","Self-isolation at own accommodation. 

There are different requirements in place for arrivals from other countries. For example, arrivals from a listed Red Zone country as designated by the Belarusian Ministry of Health must provide a negative PCR test certificate in either Belarusian, Russian or English and self-isolate for 7 days. You should check the specific entry and COVID-19 test requirements set by the Belarusian authorities and your airline in advance of your flight. <br>. "
Belgium,BEL,4.660713,50.640947,"COVID-19 negative certification required for entering the country. <br>
All travellers returning from a ""red"" area, not holding an EUDCC, should be tested when arriving in Belgium, on day 1 or day 2. Non-residents in Belgium must present a pre-departure PCR test taken no earlier than 72 hours prior to arrival.<br>
All travellers returning from a ""red"" area, not holding an EUDCC, should be tested when arriving in Belgium, on day 1 or day 2.<br>
All travellers from an EU ""red"" zone, who do not have a vaccination or recovery certificate, must present a pre-departure negative PCR test taken within 72 hours prior to arrival. <br>
Travellers arriving from a ""red"" zone, and holding a EUDCC, are exempted from further testing and quarantine requirements if their EUDCC contains either: <br>
•        a certificate of full vaccination<br>
The vaccination is considered to be completed (full) 14 days after taking the second dose (or 14 days after the single dose for vaccines requiring 1 dose only). For people who had been previously infected with the SARS-CoV-2 virus, the vaccination is considered to be completed also after a single dose of a vaccine requiring 2 doses<br>
•        a certificate of recovery from Covid-19, valid between 11 and 180 days from the date of a positive PCR test<br>
•        a pre-departure PCR test taken no earlier than 72 hours prior to arrival. Residents in Belgium and persons of Belgian nationality can replace the pre-departure PCR test by a PCR test taken within 48 hours from arrival, by remaining in self-isolation while waiting for the test result.<br>
All travellers returning from a ""red"" area, not holding an EUDCC, should be tested when arriving in Belgium, on day 1 or day 2. Non-residents in Belgium must present a pre-departure PCR test taken no earlier than 72 hours prior to arrival.<br>
Children under 12 years old are exempted from the testing requirement.<br>
When arriving from a <a href=""https://www.info-coronavirus.be/en/countries-with-high-risk/"">very high-risk country</a>
 inside the European Union or Schengen Area, people who do not have a certificate of full vaccination must present a pre-departure PCR test, taken no earlier than 72 hours prior to arrival, and take a PCR test on day 7 after their arrival in Belgium.
Residents in Belgium must perform a PCR test on day 1 or 2 of their arrival in Belgium, and get tested again on day 7. Quarantine is mandatory, until the test result is known. 


","Self-isolation at own accommodation
The obligations of testing and quarantine depend on the colour of the area of origin (green / orange / red). <br>
Belgium accepts the EU Digital COVID Certificate (EUDCC). Travellers arriving from ""green"" or ""orange"" zones, with or without a EUDCC, are not subject to testing or quarantine requirements. <br>
Travellers arriving from a ""red"" zone, and holding a EUDCC, are exempted from further testing and quarantine requirements if their EUDCC contains either: <br>
•        a certificate of full vaccination<br>
The vaccination is considered to be completed (full) 14 days after taking the second dose (or 14 days after the single dose for vaccines requiring 1 dose only). For people who had been previously infected with the SARS-CoV-2 virus, the vaccination is considered to be completed also after a single dose of a vaccine requiring 2 doses<br>
•        a certificate of recovery from Covid-19, valid between 11 and 180 days from the date of a positive PCR test<br>
•        a pre-departure PCR test taken no earlier than 72 hours prior to arrival. Residents in Belgium and persons of Belgian nationality can replace the pre-departure PCR test by a PCR test taken within 48 hours from arrival, by remaining in self-isolation while waiting for the test result.<br>
All travellers from an EU ""red zone”, who do not have a vaccination or recovery certificate, must present a pre-departure negative PCR test taken within 72 hours prior to arrival. Belgian residents can get tested on day 1 or 2 after the arrival in Belgium and must undergo a quarantine while waiting for the result. If the test is negative, they can end the quarantine. A second test must be taken on day 7. If any of these tests is positive, an  isolation of 10 days must be observed. <br>
*Brussels Region applies stricter rules: all travellers coming from a red area and not holding a EUDCC must, in addition to the tests obligations, respect a mandatory quarantine of 10 days. The quarantine can be shorted if the result of the test taken on day 7 after arrival is negative.<br>
Children under 12 years old are exempted from the testing requirement.<br>
When arriving from a <a href=""https://www.info-coronavirus.be/en/countries-with-high-risk/"">very high-risk country</a> inside the European Union or Schengen Area, people who do not have a certificate of full vaccination must present a pre-departure PCR test, taken no earlier than 72 hours prior to arrival, and take a PCR test on day 7 after their arrival in Belgium.








"
Belize,BLZ,-88.708794,17.19908,"COVID-19 negative certification required for entering the country. 


If you wish to travel to Belize, prior to arrival: <br>
•        Anyone aged 5 years or older (vaccinated or unvaccinated) must present a negative PCR test within 96 hours prior to travel or Rapid Antigen, Sofia, SD Blosensor, and ABBOTT (Panbio) COVID-19 test within 48 hours prior to arrival by air or sea <br>
•        If you are unable to take a test prior to travel, you must take a test on arrival at your own expense for US$50 per passenger <br>
•        If entering by land border, external PCR or Rapid tests will not be accepted. A Rapid Test will be administered by the Ministry of Health at your own expense. If entering by sea, you must give 72-hour notice of arrival and use a Shipping Agent specially licensed to enter non-commercial vessels. There is a set tariff of no more than US$150.00 <br>
","Quarantine requirement at government designated site- subject to PCR. <br>


If you receive a positive test result, you will be required to undertake mandatory quarantine for a minimum of 14 days at an approved quarantine hotel at your own expense. The Ministry of Health will monitor each case. A negative test is required as proof of recovery. <br>
•        Protocols and procedures are subject to change at short notice. Further information is available from the <a href="""">Belize Tourism Board</a>
•        , <a href=""https://www.travelbelize.org/"">Travel Belize</a>
•        or <a href=""https://www.portauthority.bz/"">Belize Port Authority.</a> Everyone must comply with the current Statutory Instrument. "
Benin,BEN,2.339979,9.653766,"COVID-19 negative certification subject to special conditions.

All arriving passengers must undergo mandatory COVID-19 testing - There is an <a href=""https://www.gouv.bj/actualite/860/telechargez-guide-parcours-voyageurs-devant-effectuer-leur-test-covid-19-arrivee-depart-aeroport-cotonou--benin-/"">online guidance page</a> (in French) which explains the steps for arriving and departing passengers and test results can be obtained within 24 to 48 hours. Testing for children under five years old is free of charge. ","Quarantine requirement at government designated site- subject to PCR.

Those who test positive for COVID-19 will be subject to government-mandated isolation measures and will receive treatment free of charge."
Bermuda,BMU,-64.785473,32.279828,"COVID-19 negative certification required for entering the country. 

All visitors must have a negative pre-arrival PCR Covid-19 test taken 4 days before arrival in Bermuda. 
Upon arrival, you must show a copy of your Travel Authorisation and present a copy of the pre-departure PCR COVID-19 negative test result to health officers on request. <br>
All travellers will undergo PCR COVID-19 testing at the Bermuda L.F. Wade International Airport.","Quarantine requirement at government designated site- subject to PCR and origin. <br>

As of 20 June 2021, all travellers who are unimmunised and arrive in Bermuda must quarantine at a designated Quarantine Hotel at their own expense. Travellers may apply for an exemption. If you receive an approved exemption from the hotel, you must quarantine at a residence for 14 days and test on day 14. <br>
From 23rd August 2021, unvaccinated travellers with a valid pre-arrival test will be required to quarantine for 14 days upon arrival in Bermuda. The requirements for a valid test can be found at https://www.gov.bm/are-you-unimmunised. They will quarantine at a designated hotel facility for the first four days of their holiday. Following the receipt of a negative day 4 test, they will then be allowed to complete the remaining 10 days of their quarantine at home, fitted with an electronic monitoring device. They will need to test on days 4 and 14. If the traveller who is allowed to quarantine at home does not live alone, all other members of the household will be required to quarantine as well and must also test out of quarantine on day 14. <br>
From 23rd August 2021, unvaccinated travellers without a valid pre-arrival test will be required to quarantine for 14 days. They will spend the first week in a designated hotel facility. Following receipt of a negative Day 8 test, they will be allowed to complete the final days of quarantine at home fitted with an electronic monitoring device. These travellers will test on days 8 and 14. If they do not live alone, all other members of their household will be required to quarantine as well, and all members of the household must test out of quarantine on day 14."
